name,level,start_date,location,length,leader,cost,description
Waterboarding,beginner,2014-09-30,Arboretum,2 days,Bonita,$8,impactful
Waterfall swimming,beginner,2022-07-12,Tools,10 days,Joli,$56,homogeneous
Pontoon Adventure,advanced,2023-03-04,Lake Monroe,1 days,Captain Jack,$50,A day on the Lake!
Hike,intermediate,2015-10-06,Meadow Lakes,3 days,Adriaens,$25,web-enabled
Reading in Nature,advanced,2016-11-14,Forest Preserve,4 days,Aylmar,$19,systematic
Outdoor Yoga,beginner,2018-05-06,Dunn Forest,6 days,Lon,$55,intangible
Painting,beginner,2019-08-18,Home,7,Neilla,$75,needs-based
Hiking along the River,advanced,2020-08-09,Baby,8 days,Jenni,$53,Enhanced
Animal exploration,intermediate,2021-06-16,Books,9 days,Corilla,$58,instruction set
Paddleboarding,intermediate,2017-03-12,Dupage Gardens,5 days,Zenia,$58,3rd generation
Birdwatching,advanced,2013-06-17,Dunn Meadow,1 day,Felicia,$6,next generation

